opportunity_id,account_id,product_id,agent_id,deal_stage,engage_date,close_date,close_value,expected_value,win_probability,deal_source,discount_pct
1C1I7A6R,ACC009,PRD006,AGT005,Won,20-10-2016,01-03-2017,1054,1096,1,Outbound,0.2
Z063OYW0,ACC039,PRD002,AGT010,Won,25-10-2016,11-03-2017,4514,4821,1,Inbound,0.16
EC4QE1BX,ACC009,PRD003,AGT010,Won,25-10-2016,07-03-2017,50,55,1,Inbound,0.11
MV1LWRNH,ACC011,PRD001,AGT005,Won,25-10-2016,09-03-2017,588,550,1,Event,0.06
PE84CX4O,ACC035,PRD001,AGT033,Won,25-10-2016,02-03-2017,517,550,1,Outbound,0.02
ZNBS69V1,ACC059,PRD003,AGT001,Won,29-10-2016,01-03-2017,49,55,1,Partner,0.13
9ME3374G,ACC041,PRD003,AGT024,Won,30-10-2016,02-03-2017,57,55,1,Referral,0.25
7GN8Q4LL,ACC010,PRD001,AGT027,Won,01-11-2016,07-03-2017,601,550,1,Partner,0.18
OLK9LKZB,ACC085,PRD006,AGT009,Won,01-11-2016,03-03-2017,1026,1096,1,Outbound,0.08
NL3JZH1Z,ACC004,PRD003,AGT001,Won,04-11-2016,10-03-2017,53,55,1,Outbound,0.19
KWVA7VR1,ACC028,PRD002,AGT008,Lost,04-11-2016,18-03-2017,5.02,0,0,Inbound,0.07
S8DX3XOU,ACC070,PRD005,AGT030,Won,04-11-2016,10-03-2017,5169,5482,1,Referral,0
ENB2XD8G,ACC065,PRD005,AGT034,Won,04-11-2016,06-03-2017,4631,5482,1,Inbound,0.03
09YE9QOV,ACC024,PRD004,AGT026,Won,05-11-2016,11-03-2017,3393,3393,1,Inbound,0.22
3F5MZNEH,ACC065,PRD003,AGT025,Lost,05-11-2016,03-03-2017,2.03,0,0,Referral,0.21
M6WEJXC0,ACC061,PRD004,AGT025,Won,05-11-2016,06-03-2017,3284,3393,1,Inbound,0.07
6PTR7VBR,ACC073,PRD003,AGT003,Won,06-11-2016,05-03-2017,61,55,1,Event,0.07
902REDPA,ACC078,PRD002,AGT018,Lost,07-11-2016,09-03-2017,5.22,0,0,Event,0.2
5J9CMGDV,ACC058,PRD003,AGT028,Won,07-11-2016,08-03-2017,46,55,1,Event,0.23
JJXRR8R6,ACC021,PRD005,AGT030,Lost,07-11-2016,17-03-2017,9.49,0,0,Outbound,0.19
WF4HA5NW,ACC059,PRD003,AGT005,Won,07-11-2016,18-03-2017,50,55,1,Inbound,0.15
C5K2JP1H,ACC075,PRD006,AGT012,Won,07-11-2016,11-03-2017,1014,1096,1,Event,0.06
ADRB8OMB,ACC076,PRD001,AGT010,Won,08-11-2016,26-03-2017,561,550,1,Outbound,0.13
SBCR987L,ACC083,PRD001,AGT032,Won,10-11-2016,23-03-2017,590,550,1,Event,0.06
UP409DSB,ACC026,PRD004,AGT034,Engaging,10-11-2016,,,1696.5,0.5,Event,
JSD4APT2,ACC004,PRD003,AGT003,Won,10-11-2016,12-03-2017,61,55,1,Partner,0.1
AO9Z2D17,ACC078,PRD005,AGT012,Lost,10-11-2016,11-03-2017,9.77,0,0,Inbound,0.21
5M58DTJK,ACC010,PRD003,AGT028,Won,11-11-2016,05-03-2017,58,55,1,Outbound,0.1
KNY1OSAB,ACC046,PRD002,AGT034,Won,11-11-2016,14-03-2017,4899,4821,1,Partner,0.21
